region,sc_duringchoice_amp_loc,sc_duringchoice_slope_last,sc_duringchoice_amp_slope,sc_duringchoice_slope_last_n,sc_duringchoice_move_shape,sc_duringchoice,sc_duringchoice_move_init,sc_duringchoice_integrator,sc_duringchoice_regtype,sc_duringstim_amp_slope,sc_duringstim,sc_duringstim0,sc_duringstim_move_init,sc_duringstim_integrator,sc_duringstim_regtype,sc_stim_regtype,amp_stim_s,amp_choice_s,amp_stim_se,amp_stim_se1,sigma_stim_s,sigma_stim_s_prime,stim_processor,stim_processor_loose,has_stim,has_choice,mixed_stim_choice,duringstim_label,duringchoice_label
CP,False,False,True,False,,1.0,0,1,0.5,True,0.8218029229801533,1.0,0,1,0.5,0.1,0.0,1.4161258620245314,0.0,0.30706813306269587,0.0,0.17819707701984663,False,False,True,True,True,integrator,integrator
MOp,True,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
PRE,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
POST,False,True,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
SUB,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
NB,False,False,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VISp,False,False,True,False,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.6411289268603819,,1.0,False,True,True,False,False,stim_early,
PA,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CA2,False,True,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ZI,True,True,True,True,1.0,1.0,1,0,1.0,True,0.0,0.1,1,-1,0.1,0.1,0.0,0.0,0.0,0.48731785261693306,,1.0,False,True,True,False,False,stim_early,move
LGd,True,False,True,True,,,0,0,,True,0.0,0.1,0,0,0.1,0.1,0.0,0.0,0.0,0.6295047508655962,,1.0,False,True,True,False,False,stim_early,
VISrl,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
